Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft
2	Narrikup	S1	24/06/2015	11	Below	25/06/2016	98	50	34	1
2	Leura	S1	24/06/2015	12	Below	25/06/2016	98	50	28	0
3	Woogenellup	S1	24/06/2015	13	Below	25/06/2016	98	50	32	1
3	Antas 	S1	24/06/2015	14	Below	25/06/2016	98	50	29	3
3	Monti	S1	24/06/2015	15	Below	25/06/2016	98	50	38	5
3	Narrikup	S1	24/06/2015	16	Below	25/06/2016	98	50	41	3
3	Denmark	S1	24/06/2015	17	Below	25/06/2016	98	50	31	2
3	Leura	S1	24/06/2015	18	Below	25/06/2016	98	50	27	1
1	Denmark	S3	15/09/2015	37	Above	25/06/2016	35	50	42	1
1	Antas 	S3	15/09/2015	38	Above	25/06/2016	35	50	30	2
1	Woogenellup	S3	15/09/2015	39	Above	25/06/2016	35	50	42	1
1	Leura	S3	15/09/2015	40	Above	25/06/2016	35	50	49	0
1	Narrikup	S3	15/09/2015	41	Above	25/06/2016	35	50	40	1
1	Monti	S3	15/09/2015	42	Above	25/06/2016	35	50	48	0
2	Woogenellup	S3	15/09/2015	43	Above	25/06/2016	35	50	40	0
2	Leura	S3	15/09/2015	44	Above	25/06/2016	35	50	45	0
2	Narrikup	S3	15/09/2015	45	Above	25/06/2016	35	50	45	1
2	Antas 	S3	15/09/2015	46	Above	25/06/2016	35	50	39	2
2	Denmark	S3	15/09/2015	47	Above	25/06/2016	35	50	47	0
2	Monti	S3	15/09/2015	48	Above	25/06/2016	35	50	44	0
3	Leura	S3	15/09/2015	49	Above	25/06/2016	35	50	47	0
3	Woogenellup	S3	15/09/2015	50	Above	25/06/2016	35	50	43	1
3	Antas 	S3	15/09/2015	51	Above	25/06/2016	35	50	38	2
3	Monti	S3	15/09/2015	52	Above	25/06/2016	35	50	48	1
3	Narrikup	S3	15/09/2015	53	Above	25/06/2016	35	50	43	0
3	Denmark	S3	15/09/2015	54	Above	25/06/2016	35	50	44	1
1	Denmark	S3	15/09/2015	37	Below	25/06/2016	35	50	37	1
1	Antas 	S3	15/09/2015	38	Below	25/06/2016	35	50	16	0
1	Woogenellup	S3	15/09/2015	39	Below	25/06/2016	35	50	34	2
1	Leura	S3	15/09/2015	40	Below	25/06/2016	35	50	41	0
1	Narrikup	S3	15/09/2015	41	Below	25/06/2016	35	50	43	0
1	Monti	S3	15/09/2015	42	Below	25/06/2016	35	50	44	1
2	Woogenellup	S3	15/09/2015	43	Below	25/06/2016	35	50	37	0
2	Leura	S3	15/09/2015	44	Below	25/06/2016	35	50	37	0
2	Narrikup	S3	15/09/2015	45	Below	25/06/2016	35	50	37	0
2	Antas 	S3	15/09/2015	46	Below	25/06/2016	35	50	30	1
2	Denmark	S3	15/09/2015	47	Below	25/06/2016	35	50	40	1
2	Monti	S3	15/09/2015	48	Below	25/06/2016	35	50	46	1
3	Leura	S3	15/09/2015	49	Below	25/06/2016	35	50	46	1
3	Woogenellup	S3	15/09/2015	50	Below	25/06/2016	35	50	41	0
3	Antas 	S3	15/09/2015	51	Below	25/06/2016	35	50	30	2
3	Monti	S3	15/09/2015	52	Below	25/06/2016	35	50	44	2
3	Narrikup	S3	15/09/2015	53	Below	25/06/2016	35	50	39	0
3	Denmark	S3	15/09/2015	54	Below	25/06/2016	35	50	49	0
1	Narrikup	S4	5/11/2015	55	Above	6/07/2016	14	50	50	7
1	Antas 	S4	5/11/2015	56	Above	6/07/2016	14	50	50	28
